order_id,order_date,item_id,vendor_id,quantity,unit_price,total_price
1,2024-01-01,26,15,15,400.0,6000.0
2,2024-01-01,50,19,55,1800.0,99000.0
3,2024-01-01,64,10,23,1800.0,41400.0
4,2024-01-01,74,7,90,80.0,7200.0
5,2024-01-01,33,18,65,320.0,20800.0
6,2024-01-01,53,23,93,1200.0,111600.0
7,2024-01-01,5,5,20,900.0,18000.0
8,2024-01-01,47,12,62,120.0,7440.0
9,2024-01-01,72,11,67,40.0,2680.0
10,2024-01-01,72,11,26,40.0,1040.0
11,2024-01-02,47,12,41,120.0,4920.0
12,2024-01-02,29,16,52,180.0,9360.0
13,2024-01-02,31,17,40,300.0,12000.0
14,2024-01-02,35,19,99,200.0,19800.0
15,2024-01-02,72,11,96,40.0,3840.0
16,2024-01-02,41,6,35,40.0,1400.0
17,2024-01-03,5,5,73,900.0,65700.0
18,2024-01-03,15,10,30,120.0,3600.0
19,2024-01-03,66,18,54,900.0,48600.0
20,2024-01-03,35,19,54,200.0,10800.0
21,2024-01-03,77,13,58,250.0,14500.0
22,2024-01-03,65,18,13,450.0,5850.0
23,2024-01-03,19,12,58,80.0,4640.0
24,2024-01-04,31,17,70,300.0,21000.0
25,2024-01-04,60,29,95,400.0,38000.0
26,2024-01-04,2,2,92,9500.0,874000.0
27,2024-01-05,79,15,27,60.0,1620.0
28,2024-01-05,54,24,69,2000.0,138000.0
29,2024-01-05,39,20,16,400.0,6400.0
30,2024-01-05,5,5,60,900.0,54000.0
31,2024-01-05,16,10,93,200.0,18600.0
32,2024-01-05,70,19,99,80.0,7920.0
33,2024-01-06,49,19,46,2200.0,101200.0
34,2024-01-06,17,11,10,400.0,4000.0
35,2024-01-07,6,5,77,1400.0,107800.0
36,2024-01-07,11,8,94,250.0,23500.0
37,2024-01-07,79,15,71,60.0,4260.0
38,2024-01-07,13,9,60,500.0,30000.0
39,2024-01-07,76,13,21,150.0,3150.0
40,2024-01-07,26,15,67,400.0,26800.0
41,2024-01-07,17,11,99,400.0,39600.0
42,2024-01-07,42,6,36,60.0,2160.0
43,2024-01-07,23,14,35,1200.0,42000.0
44,2024-01-08,6,5,21,1400.0,29400.0
45,2024-01-08,19,12,78,80.0,6240.0
46,2024-01-08,4,4,37,9000.0,333000.0
47,2024-01-08,58,27,21,300.0,6300.0
48,2024-01-08,61,30,96,4500.0,432000.0
49,2024-01-08,17,11,69,400.0,27600.0
50,2024-01-08,36,2,93,1500.0,139500.0
51,2024-01-08,78,15,23,400.0,9200.0
52,2024-01-09,77,13,37,250.0,9250.0
53,2024-01-09,1,1,42,7500.0,315000.0
54,2024-01-09,65,18,19,450.0,8550.0
55,2024-01-10,45,5,56,700.0,39200.0
56,2024-01-10,68,11,63,500.0,31500.0
57,2024-01-10,55,24,21,1800.0,37800.0
58,2024-01-10,51,21,45,1500.0,67500.0
59,2024-01-10,31,17,15,300.0,4500.0
60,2024-01-10,16,10,33,200.0,6600.0
61,2024-01-10,16,10,46,200.0,9200.0
62,2024-01-10,46,5,19,800.0,15200.0
63,2024-01-10,77,13,29,250.0,7250.0
64,2024-01-11,15,10,29,120.0,3480.0
65,2024-01-11,79,15,52,60.0,3120.0
66,2024-01-11,36,2,46,1500.0,69000.0
67,2024-01-11,49,19,33,2200.0,72600.0
68,2024-01-11,77,13,31,250.0,7750.0
69,2024-01-12,5,5,79,900.0,71100.0
70,2024-01-12,64,10,33,1800.0,59400.0
71,2024-01-12,44,9,69,50.0,3450.0
72,2024-01-12,78,15,46,400.0,18400.0
73,2024-01-12,12,8,97,800.0,77600.0
74,2024-01-12,12,8,76,800.0,60800.0
75,2024-01-12,35,19,29,200.0,5800.0
76,2024-01-12,35,19,93,200.0,18600.0
77,2024-01-12,77,13,18,250.0,4500.0
78,2024-01-12,18,11,80,1500.0,120000.0
79,2024-01-12,46,5,94,800.0,75200.0
80,2024-01-12,48,13,28,500.0,14000.0
81,2024-01-12,80,20,69,120.0,8280.0
82,2024-01-13,53,23,80,1200.0,96000.0
